Time (Unix),Temperatures(Celsius),Pressure(Hectopascals),Humidity,pm1,pm2.5,pm10,CPS
1634749779,24.92578125,1013.4928751619441,49.612998433065954,0,0,0,0.08333333333333333
1634749840,24.6693359375,1013.4812222441485,50.31725126843333,0,0,0,0.1
1634749901,24.6076171875,1013.4845982327009,50.937603615386756,0,0,0,0.06666666666666667
1634749962,24.72578125,1013.4879220660832,50.15570204457745,0,0,0,0.0
1634750022,24.84375,1013.5326109881303,49.93160229935815,0,0,0,0.15
1634750083,24.884765625,1013.4772669150702,49.0600150107118,0,0,0,0.15
1634750144,24.741015625,1013.4722588652986,49.347915425550305,0,0,0,0.13333333333333333
1634750205,24.5666015625,1013.4784873567983,49.309560666405744,0,0,0,0.13333333333333333
1634750266,24.54609375,1013.4604401419554,49.425587108125804,0,0,0,0.21666666666666667
1634750326,24.7205078125,1013.5148925799294,49.155682201300785,0,0,0,0.23333333333333334
