Time (Unix),Temperatures(Celsius),Pressure(Hectopascals),Humidity,pm1,pm2.5,pm10
1630748478,22.0451171875,1006.4689071454703,51.38923389151523,8421504,2155972224,2662416
1630748480,22.0552734375,1006.4605771192952,51.56123822687094,0,16777728,0
1630748481,22.0603515625,1006.4561361846593,51.48128780507908,0,16777728,0
1630748482,22.0654296875,1006.4774514422423,51.4695696599602,0,16777728,0
1630748483,22.0654296875,1006.4756140457497,51.515664475448766,0,16777728,0
1630748484,22.0705078125,1006.4480204119665,51.435451702679515,0,16777728,0
1630748485,22.0654296875,1006.4463972576228,51.44105199226874,0,16777728,0
1630748486,22.0705078125,1006.4727960340235,51.378027165018274,0,16777728,0
1630748487,22.0654296875,1006.4809119433662,51.42399258031058,0,16777728,0
1630748488,22.0705078125,1006.4677124310717,51.36669638785164,0,16777728,0
1630748489,22.0501953125,1006.4545130299906,51.39508712533217,0,16777728,0
1630748490,22.0654296875,1006.4725819363646,51.42946388298158,0,16777728,0
1630748491,22.0603515625,1006.4809119433662,51.38935763185632,0,16777728,0
1630748492,22.0705078125,1006.4480204119665,51.36631607201946,0,16777728,0
1630748493,22.0654296875,1006.4317888714546,51.42386351913881,0,16777728,0
1630748494,22.0654296875,1006.4484483157433,51.40107421944986,0,16777728,0
1630748495,22.0806640625,1006.4679264891979,51.400945419492004,0,16777728,0
1630748496,22.0654296875,1006.4206405767264,51.52699305156617,0,16777728,0
1630748497,22.0705078125,1006.4829631675058,51.52725351434505,0,16777728,0
1630748498,22.0755859375,1006.4370860522162,51.441181249348624,0,16777728,0
