Time (Unix),Temperatures(Celsius),Pressure(Hectopascals),Humidity,pm1,pm2.5,pm10
1630753196,22.1416015625,1004.4138401485963,48.76007624118355,0,2,3
1630753196,22.2580078125,1004.4419640005601,48.94549675852324,0,2,3
1630753197,22.16171875,1004.4111806120331,48.80051779606427,0,2,3
1630753198,22.156640625,1004.436117144984,49.03574707947109,0,2,3
1630753199,22.171875,1004.4211160962244,48.961294874950646,0,2,3
1630753200,22.156640625,1004.4225438713256,48.8405639521618,0,2,3
1630753201,22.156640625,1004.4097527451496,48.8578684596362,0,2,3
1630753202,22.156640625,1004.3981940338849,48.8924745141101,0,2,3
1630753203,22.156640625,1004.4014406780319,48.806252905984465,0,2,3
1630753204,22.1515625,1004.4320880664422,48.731499376818725,0,2,3
1630753205,22.146484375,1004.4091660667116,48.81188892319237,0,2,3
1630753206,22.146484375,1004.400853885649,48.59375756784834,0,2,3
1630753208,22.1416015625,1004.4335155156754,48.70836303543668,0,2,3
1630753209,22.1365234375,1004.4396165655452,48.719931099876675,0,2,3
1630753210,22.1515625,1004.4107893628541,48.76007624118355,0,2,3
1630753211,22.1515625,1004.3702069787895,48.78884989394716,0,2,3
1630753212,22.156640625,1004.3896865180707,48.92648718552378,0,2,3
1630753213,22.1515625,1004.4158549677242,48.771743476056436,0,3,4
1630753214,22.156640625,1004.4160505799114,48.94389263986899,0,3,4
1630753215,22.1515625,1004.3732580906985,48.748704633599615,0,3,4
1630753216,22.1515625,1004.3850120980675,48.72576427186465,0,3,4
1630753217,22.156640625,1004.4063106447402,48.662965880932354,0,3,4
1630753218,22.166796875,1004.4048827385212,48.7204175129148,0,3,4
1630753219,22.156640625,1004.3967660621072,48.85776885337812,0,3,4
1630753220,22.166796875,1004.4129994165603,49.006975654370954,0,3,4
1630753221,22.166796875,1004.3884541030037,48.823652759190935,0,3,4
1630753222,22.16171875,1004.4016360677606,48.93845540061407,0,3,4
1630753223,22.166796875,1004.3906630055138,48.8638985931486,0,3,4
1630753224,22.171875,1004.415208614559,48.74929093993374,0,3,4
1630753225,22.18203125,1004.4036498973048,48.77786947453372,1,3,4
1630753226,22.171875,1004.3874162832159,48.7377218070516,1,3,4
1630753227,22.166796875,1004.4032594031086,48.80644710263636,0,3,4
1630753228,22.166796875,1004.4519594937686,48.64575960739618,0,3,4
1630753229,22.156640625,1004.4324794504844,48.65168949360019,0,3,4
1630753230,22.166796875,1004.416246088231,48.72051551862513,0,3,4
1630753231,22.171875,1004.4292327775137,48.62301157171691,0,3,4
1630753232,22.166796875,1004.3805327141544,48.65149504158912,0,3,4
1630753233,22.171875,1004.4346891236289,48.62874717545621,0,3,4
1630753234,22.166796875,1004.4032594031086,48.7089467363732,0,3,4
1630753235,22.166796875,1004.4227394323523,48.663063242962735,0,3,4
1630753236,22.156640625,1004.4245582388783,48.5825764457224,0,3,4
1630753237,22.156640625,1004.3965707119089,48.67424541534391,0,3,4
1630753238,22.16171875,1004.4095572895371,48.588215391408205,0,3,4
1630753239,22.156640625,1004.4274138405688,48.651401540224974,0,3,4
1630753240,22.146484375,1004.4320880664422,48.55963443777352,0,3,4
1630753241,22.1515625,1004.4022813499283,48.588215391408205,0,3,4
1630753243,22.1416015625,1004.4436470756044,48.67424541534391,0,3,5
1630753244,22.1416015625,1004.3976073205621,48.63390419987571,0,3,5
1630753245,22.146484375,1004.384621062815,48.737234472092574,0,3,5
1630753246,22.146484375,1004.4331234820985,48.691255708543096,0,3,5
1630753247,22.1365234375,1004.4331234820985,48.61669855851543,0,3,5
1630753248,22.1365234375,1004.3889034585675,48.70836303543668,0,3,5
1630753249,22.1416015625,1004.4233838588784,48.71983303211427,0,3,5
1630753250,22.1416015625,1004.4296807945433,48.69106021669196,0,3,5
1630753251,22.1263671875,1004.3724751428339,48.748507854412075,0,3,5
1630753252,22.1263671875,1004.4051358880527,48.68532524020304,0,3,4
1630753253,22.1263671875,1004.4130558830699,48.782719716043594,0,3,4
1630753254,22.1314453125,1004.4195488052775,48.70243224827523,0,2,3
1630753255,22.1111328125,1004.3915614797971,48.77105280823738,0,2,3
1630753256,22.1060546875,1004.4031202547562,48.742281106224794,0,2,3
1630753257,22.1162109375,1004.432534652812,48.88584367695008,0,2,3
1630753258,22.1162109375,1004.4126631271994,48.6907669008492,0,2,3
1630753259,22.1060546875,1004.4159095354667,48.73081184105534,0,2,3
1630753260,22.1111328125,1004.4205825487694,48.66199543702991,0,2,3
1630753261,22.1162109375,1004.4224023527817,48.788157779755615,0,2,3
1630753262,22.1162109375,1004.4140897844205,48.94872125906124,0,2,3
1630753263,22.1060546875,1004.4220090234152,48.776688669444965,0,2,3
1630753264,22.0958984375,1004.4040803282287,48.57587647711103,0,2,3
1630753265,22.0908203125,1004.4106467782675,48.828001210980716,0,2,3
1630753266,22.1060546875,1004.4106467782675,48.7764910904766,0,2,3
1630753267,22.0958984375,1004.4253782531367,48.74208431212909,0,3,5
1630753268,22.0857421875,1004.408949783193,48.59833181321482,0,3,5
1630753269,22.0908203125,1004.4367404137786,48.701746710338156,0,3,5
1630753270,22.0806640625,1004.4065383762302,48.701452752233344,0,3,5
1630753271,22.0755859375,1004.4049152772808,48.678417998401734,0,3,5
1630753272,22.0806640625,1004.4343285118605,48.66704718125022,0,3,5
1630753273,22.0755859375,1004.4211462696978,48.70164873471201,0,2,3
1630753274,22.0755859375,1004.4049152772808,48.66694956685076,0,2,3
1630753275,22.0755859375,1004.4245898334534,48.810302179127895,0,2,3
1630753276,22.0755859375,1004.4146538719511,48.78736616759354,0,2,3
1630753278,22.0705078125,1004.4018662596011,48.89631084342285,0,2,3
1630753279,22.0755859375,1004.3996513356584,48.970849924615216,0,2,3
1630753280,22.0705078125,1004.4361489780571,48.93654816337401,0,2,3
1630753281,22.0806640625,1004.4229667206129,49.00535349906481,0,2,3
1630753282,22.0705078125,1004.3919304880262,48.99951836653619,0,2,3
1630753283,22.0755859375,1004.4308848682672,48.902245258558715,0,2,3
1630753284,22.0755859375,1004.4099818202292,48.99972117168526,0,2,3
1630753285,22.0705078125,1004.4231639681032,48.9938860398876,0,2,3
1630753286,22.0755859375,1004.3789457029307,48.82770296732045,0,2,3
1630753287,22.0755859375,1004.4197204951271,48.9364474749722,0,2,3
1630753288,22.0806640625,1004.4128333965949,48.87337541250276,0,2,3
1630753289,22.0755859375,1004.4355566078787,49.03975564434542,0,2,3
1630753290,22.0705078125,1004.4150483389941,48.95948343010495,0,2,3
1630753291,22.0755859375,1004.4097845743237,48.69571851459564,0,2,3
1630753292,22.0755859375,1004.4065383762302,48.959382480108495,0,2,3
1630753293,22.0654296875,1004.4469182182967,48.64964941836867,0,2,3
1630753294,22.0654296875,1004.4093897710436,48.77570035825884,0,2,3
1630753295,22.0603515625,1004.4028974805269,48.69552262129839,0,2,3
1630753296,22.0654296875,1004.3747131039793,48.94197970194538,0,2,3
1630753297,22.0603515625,1004.4241950006447,48.741296719398655,0,2,3
1630753298,22.0603515625,1004.3962077390911,48.76996644263996,0,2,3
1630753299,22.0552734375,1004.4187328320995,48.79844142764445,0,2,3
1630753300,22.0501953125,1004.3992562752194,48.764038790786266,0,2,3
1630753301,22.0501953125,1004.4284711140484,48.80427439198577,0,2,3
1630753302,22.0451171875,1004.4039276880925,48.93604849170724,0,2,3
1630753303,22.0451171875,1004.3941894910489,49.0219483555051,0,2,3
1630753304,22.030078125,1004.3972377798941,48.861512023842536,0,2,3
1630753305,22.0451171875,1004.4347653274964,49.07354767282232,0,2,3
1630753306,22.030078125,1004.4327460565474,48.88987940786392,0,2,3
1630753307,22.0451171875,1004.4230080106001,48.803976684566976,0,2,3
1630753308,22.03515625,1004.4069758986604,48.85004472979986,0,2,3
1630753309,22.030078125,1004.4000879019444,48.930113615617046,0,2,3
1630753310,22.019921875,1004.4144966120402,48.849645631220454,0,2,3
1630753312,22.01484375,1004.4291034417444,48.90687864366568,0,2,3
1630753313,22.019921875,1004.4374167668052,48.88987940786392,0,2,3
1630753314,22.025,1004.4307264231476,48.912712391842604,0,2,3
1630753315,22.009765625,1004.4289049864291,48.92981149801235,0,2,3
1630753316,22.01484375,1004.4011162013907,48.82641332507681,0,2,3
1630753317,22.0046875,1004.4351982479106,48.814946830569696,0,2,3
1630753318,21.999609375,1004.4335752926646,48.906577217182154,0,2,3
1630753319,21.99453125,1004.4182944910367,48.96964003598921,0,2,3
1630753320,22.0046875,1004.4248642963695,48.849046671098115,0,2,3
1630753321,22.0046875,1004.4280318278147,48.889277763328984,0,2,3
1630753322,21.99453125,1004.4247860486289,48.940571646184786,0,2,3
1630753323,21.979296875,1004.4099810100582,48.90637621415161,0,2,3
1630753324,21.979296875,1004.4667817017082,49.10681637431711,0,2,3
1630753325,21.979296875,1004.4440614154985,48.99789833347663,0,2,3
1630753326,21.97421875,1004.4241882751937,48.97486645191219,0,2,3
1630753327,21.984375,1004.4552220488572,49.00916011423022,0,2,3
1630753328,21.9640625,1004.4256116466872,49.043452633163,1,2,3
1630753329,21.9640625,1004.433526183757,49.02062503533156,1,2,3
1630753330,21.9640625,1004.4170983264183,48.95153165126258,1,2,3
1630753331,21.958984375,1004.4136530085055,48.95716283860868,1,2,3
1630753332,21.95390625,1004.4136530085055,48.911207369757335,1,2,3
1630753333,21.958984375,1004.4248126948395,48.97999439554859,1,2,3
1630753334,21.948828125,1004.4233897911198,48.97999439554859,1,2,3
1630753335,21.948828125,1004.4102076397915,49.105997426304874,0,2,3
1630753336,21.94375,1004.4313038321052,49.12298690852064,0,2,3
1630753337,21.948828125,1004.4195443231246,49.02001759906103,0,2,3
1630753338,21.938671875,1004.4260353542055,49.105997426304874,0,2,3
1630753339,21.9337890625,1004.4209669022623,48.979892934966564,0,2,3
1630753340,21.94375,1004.4094075020869,49.07702994633554,1,2,3
1630753341,21.938671875,1004.4209669022623,49.27753100467217,1,2,3
1630753342,21.9337890625,1004.4191438886523,49.088390718525375,1,2,3
1630753343,21.9287109375,1004.4367934189671,49.036805176354605,1,2,3
1630753344,21.9337890625,1004.4319252627753,49.105379812164365,1,2,3
1630753345,21.9236328125,1004.4560652699298,49.02513753417053,1,2,3
1630753347,21.9236328125,1004.4152970754237,48.97938547593432,1,2,3
1630753348,21.9185546875,1004.4349700918038,49.04826869786541,1,2,3
1630753349,21.9185546875,1004.4248324895852,49.07672207331937,1,2,3
1630753350,21.9185546875,1004.4150964176737,49.20833736157322,1,2,3
1630753351,21.9083984375,1004.4526190001521,49.01357227105894,0,2,3
1630753352,21.9083984375,1004.4574870798237,49.076619428164804,0,2,3
1630753353,21.9033203125,1004.4343676442387,49.08224820892583,0,2,3
