Time (Unix),Temperatures(Celsius),Pressure(Hectopascals),Humidity,pm1,pm2.5,pm10,CPS
1634751764,21.0052734375,1012.7701736691673,61.46335525251426,7168,0,0,0.05
1634751824,21.1080078125,1012.7512834455355,61.366047763078875,0,0,0,0.03333333333333333
1634751885,21.0771484375,1012.7254344247308,60.35246256596345,0,0,0,0.1
1634751946,21.0875,1012.7043803210439,60.70351084419242,0,0,0,0.2
1634752007,21.3234375,1012.7014895764318,59.73052115012526,0,0,0,0.1
1634752067,21.38515625,1012.733040135535,58.90498848897351,0,0,0,0.11666666666666667
1634752128,21.0361328125,1012.6385466879457,59.64896685876185,0,0,0,0.16666666666666666
1634752189,21.1234375,1012.6590541100618,61.227886122029716,0,0,0,0.18333333333333332
1634752250,21.3646484375,1012.6439890725643,59.56018736164146,0,0,0,0.1
1634752310,21.508203125,1012.6388628874633,59.036105428594496,0,0,0,0.03333333333333333
