Time (Unix),Temperatures(Celsius),Pressure(Hectopascals),Humidity,pm1,pm2.5,pm10
1633054306,23.7380859375,1002.1658022471254,29.107554493221475,0,0,0
1633054307,23.7482421875,1002.2039536529019,29.170973203026,0,0,0
1633054308,23.7431640625,1002.162836601409,29.032300178693255,0,0,0
1633054309,23.7431640625,1002.1709732763608,29.211366332112878,0,0,0
1633054310,23.7380859375,1002.2004099515257,29.101765758293215,0,0,0
1633054311,23.7431640625,1002.1853299549236,29.055325844294313,0,0,0
1633054312,23.7380859375,1002.1906458556244,29.101507439347152,0,0,0
1633054313,23.7431640625,1002.2018926560719,28.904680151135906,0,0,0
1633054314,23.7431640625,1002.1838473549853,28.99164753077695,0,0,0
1633054315,23.7380859375,1002.1922732047778,29.084140779053747,0,0,0
1633054316,23.7330078125,1002.1949489059573,28.980069528845622,0,0,0
1633054317,23.7279296875,1002.1757107433368,29.078610721085187,0,0,0
1633054318,23.7330078125,1002.190211883343,29.03795914851349,0,0,0
1633054319,23.7380859375,1002.1887293227585,29.078740129526942,0,0,0
1633054320,23.7330078125,1002.1984932600685,28.93980821857065,0,0,0
1633054321,23.7279296875,1002.1900670164995,29.165441306281735,0,0,0
1633054322,23.7177734375,1002.196576202574,29.10189490206024,0,0,0
1633054323,23.7279296875,1002.1624029873444,29.153606893730505,0,0,0
1633054324,23.7228515625,1002.1869572643316,29.13688423049353,0,0,0
1633054325,23.7177734375,1002.1999757419458,29.177146835498522,0,0,0
1633054326,23.7279296875,1002.1968659370202,29.020592364985184,0,0,0
1633054327,23.7279296875,1002.1950938123504,29.11926087909282,0,0,0
1633054328,23.7279296875,1002.1557491120561,29.345010595859836,0,0,0
1633054329,23.7228515625,1002.1996857453564,29.27555072392952,0,0,0
1633054330,23.7177734375,1002.1868124238542,29.594020451559242,0,0,0
1633054331,23.7279296875,1002.1669951948021,29.426296184723594,0,0,0
1633054333,23.7177734375,1002.2030853896935,29.420508184485353,0,0,0
1633054334,23.7126953125,1002.1702497331468,29.32211068886412,0,0,0
1633054335,23.7177734375,1002.1977680727643,29.489963543921384,0,0,0
1633054336,23.69765625,1002.1813502846509,29.13160585432475,0,0,0
1633054337,23.69765625,1002.1710052164221,29.14935609495321,0,0,0
